iter	RMSE
0	0.1215825355
1	0.1197189027
2	0.1181890682
3	0.1166316164
4	0.1154643454
5	0.1143737461
6	0.1131131722
7	0.1124508171
8	0.1112098248
9	0.1098748082
10	0.1085233846
11	0.1072247822
12	0.1063813332
13	0.1050946204
14	0.1044800525
15	0.1040248296
16	0.1033980445
17	0.1023203361
18	0.1017738785
19	0.1008063716
20	0.09974185453
21	0.09907667444
22	0.09821896716
23	0.09753859002
24	0.09685488002
25	0.09618263751
26	0.09546489053
27	0.09492994108
28	0.09435611486
29	0.09333565901
30	0.09243165014
31	0.0919918574
32	0.091447334
33	0.09105324234
34	0.09052417733
35	0.08998666714
36	0.08933301789
37	0.08898468314
38	0.0885637595
39	0.08788446888
40	0.08746207372
41	0.08684658626
42	0.08644814667
43	0.08593846731
44	0.08562994854
45	0.08494214975
46	0.08471801991
47	0.08444301815
48	0.08413130164
49	0.08341581878
50	0.0829584828
51	0.08192884141
52	0.08163475893
53	0.08121948506
54	0.08050021816
55	0.07989487535
56	0.07929744
57	0.07904629433
58	0.0785564853
59	0.07796748116
60	0.07768519549
61	0.07719240011
62	0.07685000399
63	0.07670945019
64	0.07628909112
65	0.07580329741
66	0.07532447231
67	0.07471429833
68	0.07445417548
69	0.07411387799
70	0.0738421325
71	0.07337008017
72	0.07306799019
73	0.07224253055
74	0.07148257896
75	0.0709379091
76	0.07043371984
77	0.06980479828
78	0.06905990327
79	0.06874754325
80	0.06811667402
81	0.06755029951
82	0.06740719315
83	0.06672733621
84	0.06582123666
85	0.06532632054
86	0.06513372127
87	0.06474112586
88	0.06407837536
89	0.06341520501
90	0.06292947709
91	0.06282476827
92	0.06230450337
93	0.06160556334
94	0.06107407934
95	0.06075950896
96	0.06003440412
97	0.05976563156
98	0.05943838755
99	0.05895116313
100	0.05842096372
101	0.05778289013
102	0.05743671176
103	0.05685147604
104	0.05614480568
105	0.05576507461
106	0.05530245289
107	0.05506887667
108	0.05467327304
109	0.05423666192
110	0.05416023932
111	0.0539175745
112	0.0535608547
113	0.05318990824
114	0.05312258142
115	0.05305753989
116	0.05270212846
117	0.05227081392
118	0.0517116949
119	0.05105182516
120	0.05076811259
121	0.05028496704
122	0.04993930173
123	0.04948486512
124	0.04911773424
125	0.04850928874
126	0.04819642093
127	0.04809303974
128	0.04762796263
129	0.04757939118
130	0.04752222541
131	0.04712085162
132	0.04675006056
133	0.04650017844
134	0.04613545605
135	0.04573502015
136	0.04523395731
137	0.04478481018
138	0.04418145253
139	0.04380202268
140	0.0435608379
141	0.0432397221
142	0.04299151055
143	0.04266293555
144	0.04220433939
145	0.04176911447
146	0.041539552
147	0.04118821116
148	0.04112965885
149	0.04083067225
150	0.04039380217
151	0.04010118136
152	0.03974817221
153	0.03945592362
154	0.03916548908
155	0.03889925668
156	0.03856597315
157	0.0381970165
158	0.03808016681
159	0.03787319232
160	0.0376474216
161	0.03735800027
162	0.0370892073
163	0.03669202713
164	0.03640663048
165	0.03608221499
166	0.03584323283
167	0.03575793314
168	0.03563293906
169	0.03535972319
170	0.03518849123
171	0.03507368396
172	0.03495101463
173	0.03468552726
174	0.03452968233
175	0.03430676242
176	0.03407461132
177	0.03397814997
178	0.03391848447
179	0.03363587197
180	0.03347199492
181	0.03343108281
182	0.03327618069
183	0.03307251939
184	0.03301267323
185	0.0327662811
186	0.03257074731
187	0.03233650916
188	0.03206703564
189	0.03187619697
190	0.03184011225
191	0.03155616055
192	0.03135400585
193	0.03111423174
194	0.03090951925
195	0.0306717335
196	0.03044303148
197	0.030256676
198	0.03000155876
199	0.02980658928
200	0.02960361965
201	0.02929716722
202	0.02922575591
203	0.02918269031
204	0.02893934351
205	0.02862884107
206	0.02847435479
207	0.02843433704
208	0.02823385907
209	0.02804882565
210	0.02801703189
211	0.0278323066
212	0.02766100069
213	0.02757899928
214	0.02725065499
215	0.02716712805
216	0.02693055345
217	0.02682717316
218	0.02674832198
219	0.02662558898
220	0.026397799
221	0.02621005695
222	0.02612591936
223	0.0258600586
224	0.02561922616
225	0.02544698064
226	0.02542391748
227	0.02539110435
228	0.02518961738
229	0.02504628406
230	0.02496256429
231	0.0248759419
232	0.02459794572
233	0.024515449
234	0.02437170035
235	0.02420159444
236	0.02416395187
237	0.02414339183
238	0.02389765
239	0.02371272212
240	0.0236063683
241	0.02338063596
242	0.0232379643
243	0.02317156915
244	0.02303706157
245	0.02284837612
246	0.02273910493
247	0.02261083137
248	0.02248140143
249	0.02238000299
250	0.02227453603
251	0.02204791124
252	0.02189466812
253	0.02174732748
254	0.02164926585
255	0.02138821105
256	0.02116625665
257	0.0210434725
258	0.02094183844
259	0.02076626207
260	0.02067031341
261	0.02064372639
262	0.02058501072
263	0.02045743317
264	0.02043475244
265	0.02034848823
266	0.02032497497
267	0.02019591149
268	0.02017449942
269	0.02006893692
270	0.01997769472
271	0.01973990582
272	0.01952539638
273	0.01935556032
274	0.01927734431
275	0.01925079446
276	0.01920297576
277	0.01905697557
278	0.0188959883
279	0.01883519722
280	0.018716539
281	0.01858786359
282	0.01835690812
283	0.01828143236
284	0.01820705735
285	0.01814814134
286	0.01803173287
287	0.01798237202
288	0.01787079167
289	0.01778568454
290	0.01763302416
291	0.01760985685
292	0.01747323091
293	0.01725655819
294	0.01723179463
295	0.01719340252
296	0.01717074701
297	0.01710450299
298	0.01707828059
299	0.01705654984
